City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Ahmedabad,01/01/2015,23.2,126.1,0.9,18.2,17.2,10.3,0.9,27.6,133.4,0.0,0.0,0.0,132.0,
Ahmedabad,02/01/2015,24.7,123.5,1.0,15.7,16.5,10.4,1.0,24.6,34.1,3.7,5.5,3.8,110.0,
Ahmedabad,03/01/2015,121.3,161.9,17.4,19.3,29.7,9.0,17.4,29.1,30.7,6.8,16.4,2.2,415.0,
Ahmedabad,04/01/2015,40.7,159.5,1.7,18.5,18.0,12.1,1.7,18.6,36.1,4.4,10.1,1.0,144.0,
Ahmedabad,05/01/2015,156.1,215.9,22.1,21.4,37.8,9.0,22.1,39.3,39.3,7.0,18.9,2.8,530.0,
Ahmedabad,06/01/2015,100.5,163.9,45.4,38.5,81.5,15.1,45.4,45.8,46.5,5.4,10.8,1.9,729.0,
Ahmedabad,07/01/2015,56.2,68.0,112.2,40.6,130.8,23.1,112.2,32.3,33.5,0.0,0.0,0.0,1396.0,
Ahmedabad,08/01/2015,52.1,127.3,80.9,36.7,96.8,25.2,80.9,38.5,31.9,0.0,0.0,0.0,1057.0,
Ahmedabad,09/01/2015,93.6,144.9,29.2,31.0,48.0,17.3,29.2,58.7,25.8,0.0,0.0,0.0,534.0,
Ahmedabad,10/01/2015,36.2,157.9,4.3,7.0,0.0,0.6,0.0,8.3,4.6,0.0,0.0,0.0,103.0,
Ahmedabad,11/01/2015,60.9,68.0,132.1,55.8,24.5,26.0,132.1,25.0,6.8,0.0,0.0,0.0,1608.0,
Ahmedabad,12/01/2015,125.8,146.9,52.0,40.7,90.2,15.2,52.0,51.8,45.9,2.4,0.0,7.9,829.0,
Ahmedabad,13/01/2015,108.2,147.2,48.8,44.2,87.1,9.3,48.8,68.2,35.2,9.4,13.4,12.5,782.0,
Ahmedabad,14/01/2015,89.1,94.5,19.2,27.9,33.0,19.6,19.2,52.6,21.0,2.2,2.3,5.2,395.0,
Ahmedabad,15/01/2015,23.0,125.9,0.6,17.0,16.6,10.3,0.6,28.9,47.6,0.1,0.0,1.4,111.0,
Ahmedabad,16/01/2015,97.4,129.6,1.6,21.7,22.9,9.3,1.6,38.3,46.0,0.4,0.0,2.0,212.0,
Ahmedabad,17/01/2015,57.3,57.7,11.4,24.7,34.8,5.4,11.4,49.5,52.2,0.7,0.0,3.3,268.0,
Ahmedabad,18/01/2015,49.2,45.9,6.1,25.8,29.6,8.9,6.1,48.4,53.5,0.7,0.2,2.8,196.0,
Ahmedabad,19/01/2015,59.6,72.1,2.5,26.9,27.4,16.5,2.5,50.0,49.5,0.3,0.0,2.8,174.0,
Ahmedabad,20/01/2015,49.6,51.8,7.9,26.8,32.4,8.9,7.9,58.9,56.4,0.2,0.0,4.0,226.0,
Ahmedabad,21/01/2015,33.8,72.2,9.5,33.6,39.3,16.8,9.5,106.9,48.8,0.3,0.0,5.6,263.0,
Ahmedabad,22/01/2015,77.9,98.9,9.0,17.5,22.3,26.3,9.0,23.7,42.2,0.0,0.0,4.5,252.0,
Ahmedabad,23/01/2015,100.8,180.2,22.5,28.0,47.8,24.2,22.5,39.2,32.9,0.4,0.0,6.0,463.0,
Ahmedabad,24/01/2015,100.5,227.2,2.0,20.4,21.4,9.0,2.0,40.1,32.5,0.5,0.7,1.5,245.0,
Ahmedabad,25/01/2015,88.1,196.0,1.4,20.4,20.2,9.0,1.4,58.4,39.3,0.0,0.0,0.9,229.0,
Ahmedabad,26/01/2015,143.0,199.4,2.3,21.2,21.8,9.0,2.3,43.7,39.8,0.1,0.0,1.6,290.0,
Ahmedabad,27/01/2015,134.5,147.8,2.2,21.7,23.3,9.4,2.2,43.3,41.1,0.0,0.0,1.6,266.0,
Ahmedabad,28/01/2015,73.2,138.6,5.7,21.1,25.8,7.9,5.7,36.5,62.4,0.0,0.0,1.4,236.0,
Ahmedabad,29/01/2015,83.1,124.4,6.9,28.7,33.7,7.6,6.9,49.5,59.8,0.0,0.0,3.1,209.0,Poor
Ahmedabad,30/01/2015,79.8,145.5,13.8,28.7,41.1,9.3,13.8,48.5,97.1,0.0,0.0,4.8,328.0,Very Poor
Ahmedabad,31/01/2015,94.5,159.2,24.4,32.7,52.6,11.3,24.4,67.4,111.3,0.2,0.0,7.7,514.0,Severe
Ahmedabad,01/02/2015,136.0,241.2,43.5,42.1,84.6,15.2,43.5,75.2,102.7,0.4,0.0,25.9,782.0,Severe
Ahmedabad,02/02/2015,178.3,316.4,54.6,35.3,72.8,43.5,54.6,55.0,107.4,0.5,0.1,35.6,914.0,Severe
Ahmedabad,03/02/2015,139.7,246.8,30.6,28.4,56.7,25.9,30.6,33.8,73.6,0.2,0.0,11.9,660.0,Severe
Ahmedabad,04/02/2015,80.6,105.6,2.4,22.8,24.0,9.4,2.4,25.7,47.3,0.0,0.0,0.0,294.0,Poor
Ahmedabad,05/02/2015,58.4,100.2,2.6,21.4,23.3,9.4,2.6,32.7,53.5,0.0,0.0,0.0,149.0,Moderate
Ahmedabad,06/02/2015,79.3,137.8,1.2,26.9,26.8,7.7,1.2,67.4,59.3,0.0,0.0,0.0,190.0,Moderate
Ahmedabad,07/02/2015,88.7,150.7,7.3,31.3,37.7,15.6,7.3,80.1,44.8,0.0,0.0,0.0,247.0,Poor
Ahmedabad,08/02/2015,74.3,91.3,8.9,27.3,33.4,7.6,8.9,54.3,47.4,0.0,0.0,0.3,379.0,Very Poor
Ahmedabad,09/02/2015,113.9,170.8,4.3,24.3,26.9,10.0,4.3,48.7,39.9,0.0,0.0,3.6,341.0,Very Poor
Ahmedabad,10/02/2015,105.4,185.6,1.4,18.2,18.8,9.0,1.4,35.9,56.2,0.0,0.0,3.3,256.0,Poor
Ahmedabad,11/02/2015,66.5,92.9,6.3,23.8,28.2,8.3,6.3,66.6,53.1,9.7,9.6,16.5,388.0,Very Poor
Ahmedabad,12/02/2015,65.0,128.7,14.2,30.1,44.2,10.3,14.2,65.9,31.9,7.7,17.5,2.5,288.0,Poor
Ahmedabad,13/02/2015,103.4,196.0,18.2,39.6,57.3,10.0,18.2,80.4,40.1,11.3,24.4,3.4,510.0,Severe
Ahmedabad,14/02/2015,177.3,305.3,37.5,47.6,77.8,10.3,37.5,99.7,36.5,17.0,52.7,7.0,761.0,Severe
Ahmedabad,15/02/2015,113.2,230.1,15.6,30.5,44.9,7.0,15.6,69.7,33.8,10.5,28.5,3.2,475.0,Severe
Ahmedabad,16/02/2015,99.7,184.0,19.8,28.1,47.3,6.8,19.8,73.2,30.6,10.3,31.2,4.0,536.0,Severe
Ahmedabad,17/02/2015,80.6,152.8,16.0,21.0,35.7,7.9,16.0,54.7,36.2,8.1,18.8,2.5,479.0,Severe
Ahmedabad,18/02/2015,100.8,225.1,16.2,25.9,41.9,9.0,16.2,43.1,37.4,10.0,32.4,4.0,592.0,Severe
Ahmedabad,19/02/2015,108.0,225.3,11.2,30.1,40.5,11.3,11.2,84.9,31.9,9.2,24.0,3.2,427.0,Severe
